ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,stock_name
600519.SH,20230103,1731.2,1738.43,1706.01,1730.01,1727.0,3.01,0.1743,26033.8,4487760.231,茅台
600519.SH,20230104,1730.0,1738.7,1716.0,1725.01,1730.01,-5.0,-0.289,20415.75,3523582.306,茅台
600519.SH,20230105,1737.0,1801.0,1733.0,1801.0,1725.01,75.99,4.4052,47942.85,8541587.089,茅台
600519.SH,20230106,1806.12,1811.9,1787.0,1803.77,1801.0,2.77,0.1538,24903.75,4480838.898,茅台
600519.SH,20230109,1835.0,1849.98,1807.82,1841.2,1803.77,37.43,2.0751,30977.23,5684181.147,茅台
600519.SH,20230110,1839.06,1864.5,1830.5,1854.45,1841.2,13.25,0.7196,22731.73,4204783.734,茅台
600519.SH,20230111,1856.0,1860.0,1836.84,1844.95,1854.45,-9.5,-0.5123,22720.31,4201487.773,茅台
600519.SH,20230112,1848.0,1856.0,1833.0,1834.0,1844.95,-10.95,-0.5935,17193.17,3162637.136,茅台
600519.SH,20230113,1844.18,1888.0,1840.0,1887.0,1834.0,53.0,2.8899,31939.65,5969876.222,茅台
600519.SH,20230116,1886.0,1935.0,1881.0,1912.9,1887.0,25.9,1.3725,36848.26,7059982.64,茅台
600519.SH,20230117,1913.16,1923.0,1895.0,1908.0,1912.9,-4.9,-0.2562,21299.23,4068321.409,茅台
600519.SH,20230118,1914.0,1925.3,1890.0,1893.0,1908.0,-15.0,-0.7862,21062.93,4008665.438,茅台
600519.SH,20230119,1892.5,1892.52,1866.0,1880.21,1893.0,-12.79,-0.6756,23438.89,4401994.437,茅台
600519.SH,20230120,1889.19,1898.25,1858.0,1860.01,1880.21,-20.2,-1.0743,25608.75,4807356.071,茅台
600519.SH,20230130,1909.0,1909.0,1880.0,1888.0,1860.01,27.99,1.5048,35922.55,6799756.571,茅台
600519.SH,20230131,1896.5,1899.95,1833.07,1845.76,1888.0,-42.24,-2.2373,32990.68,6128311.548,茅台
600519.SH,20230201,1854.98,1859.0,1811.4,1844.97,1845.76,-0.79,-0.0428,33973.89,6244678.925,茅台
